"corr_value"	"p_value"
"H3k09me3_v_parp1_mcf7"	-0.409849325890655	0
"H3k27ac_v_parp1_mcf7"	-0.401135925187207	0
"H3k27me3_v_parp1_mcf7"	-0.420010683061572	0
"H3k36me3_v_parp1_mcf7"	-0.388228899391383	0
"H3k4me3_r1_v_parp1_mcf7"	0.156681695938328	0
"H3k4me3_r2_v_parp1_mcf7"	0.118070218421094	0
"H3k09me3_v_parp1_mdamb231"	-0.249917499328888	1.15808156757133e-149
"H3k27ac_v_parp1_mdamb231"	-0.257339176644162	0
"H3k27me3_v_parp1_mdamb231"	-0.189067429675583	2.75850837031256e-174
"H3k36me3_v_parp1_mdamb231"	-0.28590719689711	0
"H3k4me3_r1_v_parp1_mdamb231"	0.25247512732685	0
"H3k4me3_r2_v_parp1_mdamb231"	0.23448563676587	0
