"corr_value"	"p_value"
"H3k09me3_v_parp1_mcf7"	-0.266727785491092	1.44406435057311e-19
"H3k27ac_v_parp1_mcf7"	-0.305671946708716	0
"H3k27me3_v_parp1_mcf7"	-0.346678813675687	2.17444379094708e-88
"H3k36me3_v_parp1_mcf7"	-0.306547354536379	0
"H3k4me3_r1_v_parp1_mcf7"	0.386986407079125	0
"H3k4me3_r2_v_parp1_mcf7"	0.360708269183601	0
"H3k09me3_v_parp1_mdamb231"	-0.167450806872854	1.93905107936935e-08
"H3k27ac_v_parp1_mdamb231"	-0.189950071981487	7.04178050924365e-200
"H3k27me3_v_parp1_mdamb231"	-0.113307056061193	2.37845215968999e-10
"H3k36me3_v_parp1_mdamb231"	-0.236597476819568	0
"H3k4me3_r1_v_parp1_mdamb231"	0.362311976445635	0
"H3k4me3_r2_v_parp1_mdamb231"	0.349751742912328	0
